"","state","city","zipcode","n_abi","n_abi_any_na_address_line_1","pct_abi_any_na_address_line_1","lon","lat"
"583","AR","JUDSONIA","72081",35,1,2.86,-91.641760500051,35.2758953436622
"584","AR","KENSETT","72082",13,1,7.69,-91.6678479434239,35.2353635169853
"585","AR","KINGSLAND","71652",16,2,12.5,-92.2816012366038,33.8671706058295
"586","AR","KINGSTON","72742",8,2,25,-93.5175660639015,36.049347444649
"587","AR","KIRBY","71950",9,1,11.11,-93.6441132413431,34.2533592608355
"588","AR","KNOXVILLE","72845",1,1,100,-93.3615694143612,35.3750953913439
"589","AR","LAKE CITY","72437",32,1,3.12,-90.4449713730741,35.8212953537656
"590","AR","LAKE VILLAGE","71653",46,1,2.17,-91.2840681892327,33.3338544977584
"591","AR","LAKEVIEW","72642",4,1,25,-92.5376408797021,36.375950792646
"592","AR","LAMAR","72846",19,3,15.79,-93.3898526641375,35.4359827086371
"593","AR","LAVACA","72941",14,4,28.57,-94.1781904995782,35.3342429754566
"594","AR","LEACHVILLE","72438",21,1,4.76,-90.2563026350423,35.9086483761011
"595","AR","LEAD HILL","72644",26,1,3.85,-92.9027830243823,36.41184968888
"596","AR","LEWISVILLE","71845",40,17,42.5,-93.5784402981817,33.3719981592776
"597","AR","LITTLE ROCK","72201",60,5,8.33,-92.3357993154586,34.7205546050788
"598","AR","LITTLE ROCK","72205",109,5,4.59,-92.3357993154586,34.7205546050788
"599","AR","LITTLE ROCK","72211",81,3,3.7,-92.3357993154586,34.7205546050788
"600","AR","LITTLE ROCK","72209",206,2,0.97,-92.3357993154586,34.7205546050788
"601","AR","LITTLE ROCK","72202",112,1,0.89,-92.3357993154586,34.7205546050788
"602","AR","LITTLE ROCK","72207",36,1,2.78,-92.3357993154586,34.7205546050788
"603","AR","LITTLE ROCK","72223",57,1,1.75,-92.3357993154586,34.7205546050788
"604","AR","LOCKESBURG","71846",22,1,4.55,-94.1722734831925,33.9712869992531
"605","AR","LONDON","72847",17,2,11.76,-93.2474292400246,35.3296487839399
"606","AR","LOUANN","71751",17,4,23.53,-92.7924236231701,33.3903441308345
"607","AR","LOWELL","72745",31,1,3.23,-94.16137025107,36.2612741751926
"608","AR","MAGNOLIA","71753",134,1,0.75,-93.2240399100212,33.2804392895125
"609","AR","MALVERN","72104",119,1,0.84,-92.815932846268,34.3735290977155
"610","AR","MAMMOTH SPRING","72554",25,2,8,-91.535814479009,36.4882636445698
"611","AR","MANILA","72442",35,3,8.57,-90.1683812631958,35.8873657366674
"612","AR","MANSFIELD","72944",21,1,4.76,-94.2455006739004,35.0634563284399
"613","AR","MARION","72364",63,1,1.59,-90.2663493424937,35.1804205892349
"614","AR","MARVELL","72366",28,4,14.29,-90.9169670002354,34.5558153169232
"615","AR","MC DOUGAL","72441",2,1,50,-90.390562828938,36.4353256158599
"616","AR","MC GEHEE","71654",41,1,2.44,-91.3975544729998,33.6405238238337
"617","AR","MELBOURNE","72556",19,5,26.32,-91.9028870569681,36.065197827004
"618","AR","MIDLAND","72945",7,1,14.29,-94.3562928338951,35.0964647449701
"619","AR","MINERAL SPRINGS","71851",30,16,53.33,-93.9215283727205,33.8756968281359
"620","AR","MONETTE","72447",15,5,33.33,-90.3486358537544,35.8972970674892
"621","AR","MOUNTAIN HOME","72653",121,9,7.44,-92.3770412268869,36.3380296900907
"622","AR","MOUNTAIN VIEW","72560",79,9,11.39,-92.1041949165508,35.8637068907308
"623","AR","MOUNTAINBURG","72946",27,2,7.41,-94.1657456406816,35.6393167340029
"624","AR","MT HOLLY","71758",9,2,22.22,-92.9523374986146,33.2994177030838
"625","AR","MT IDA","71957",26,7,26.92,-93.6297452692766,34.5500255565638
