"expr","time"
"dplyr_join",27287140
"dplyr_in",19452245
"dplyr_in",39592429
"baseR",37817293
"dplyr_join",46147304
"dplyr_join",26203920
"dplyr_join",26705514
"dplyr_in",18361071
"baseR",57307668
"data.table",585111
"dplyr_in",18897720
"data.table",485809
"baseR",188013208
"dplyr_in",19416862
"dplyr_join",27293864
"dplyr_join",26420400
"baseR",57219477
"dplyr_in",18584357
"dplyr_in",18771317
"data.table",512828
"data.table",285893
"data.table",247476
"baseR",37946689
"data.table",497986
"data.table",292043
"data.table",239153
"baseR",59622815
"data.table",610121
"baseR",71400229
"dplyr_join",129102645
"dplyr_in",23084886
"dplyr_in",24935790
"dplyr_in",19772947
"baseR",39644089
"baseR",60054586
"dplyr_in",19076767
"dplyr_in",19020105
"dplyr_join",26929169
"dplyr_join",26376817
"data.table",664405
"data.table",288271
"dplyr_join",49182083
"data.table",722420
"baseR",36748300
"baseR",58572682
"dplyr_join",27436667
"data.table",587448
"baseR",57467527
"baseR",36923903
"data.table",477158
"data.table",279005
"dplyr_join",28015751
"baseR",57610084
"baseR",59282925
"baseR",37517091
"dplyr_in",19874217
"dplyr_in",19657040
"baseR",58943281
"baseR",39944127
"dplyr_in",20748501
"baseR",58569607
"dplyr_join",26848850
"baseR",58398719
"dplyr_join",26628352
"baseR",37927829
"baseR",57112139
"baseR",37802451
"data.table",543783
"baseR",58895598
"data.table",608071
"baseR",37288885
"dplyr_in",41319513
"data.table",471131
"dplyr_in",19159464
"dplyr_in",20006073
"dplyr_in",19424406
"data.table",569777
"baseR",36968306
"baseR",57602417
"data.table",483062
"dplyr_in",18775909
"dplyr_join",26508919
"dplyr_join",27722724
"data.table",541241
"data.table",280645
"dplyr_in",39851590
"dplyr_in",18952537
"data.table",454690
"data.table",278882
"baseR",36773023
"data.table",484292
"dplyr_in",19497919
